"Zeitstempel","Ich bin sportlich","Ich bin fleißig.","Von Rückschlägen lasse ich mich nicht entmutigen.","Meine Fähigkeiten und Talente sind vorgegeben und ich kann daran nicht viel ändern.","1990 lebten 58 % der Weltbevölkerung in Ländern mit niedrigem Einkommen. Wie hoch ist der Anteil heute? Geben Sie eine Zahl ein (z. B. 9, 37 oder 61)","Wie viel der weltweit verbrauchten Energie stammt aus Erdgas, Kohle und Öl?","Welcher Anteil der Weltbevölkerung lebt in Megacitys (Städte mit mindestens 10 Millionen Einwohnern)?","Wie viele Geleebohnen befinden sich in diesem sechseckigen Glas?","Wie viele Minuten verbringen Sie an einem typischen Tag in sozialen Medien (Facebook, Instagram, Snapchat, etc.)?","Wie viele Minuten investieren Sie ca. pro Tag in Ihr Studium (abgesehen von Lehrveranstaltungen)?","Lesen Sie zur Zeit ein Buch?","Wie alt sind Sie?","Sie sind ..."
"2022/10/31 10:06:31 AM MEZ","trifft völlig zu","teils teils","3","trifft eher nicht zu","73","ca. 62%","3","760","120","60","Nein","24","Männlich"
"2022/10/31 10:07:29 AM MEZ","trifft eher zu","trifft völlig zu","5","trifft eher nicht zu","65","ca. 82%","5","1600","30","60","Ja","22","Männlich"
"2022/10/31 10:07:49 AM MEZ","trifft eher zu","trifft völlig zu","3","trifft eher nicht zu","65","ca. 82%","2","1000","60","60","Ja","22","Weiblich"
"2022/10/31 10:07:57 AM MEZ","teils teils","trifft eher zu","1","trifft eher nicht zu","40","ca. 82%","1","1000","120","60","Ja","23","Männlich"
"2022/10/31 10:08:04 AM MEZ","trifft völlig zu","trifft eher zu","4","trifft überhaupt nicht zu","9","ca. 82%","3","10000","2","200","Ja","27","Männlich"
"2022/10/31 10:08:13 AM MEZ","trifft eher zu","trifft völlig zu","5","trifft überhaupt nicht zu","61","ca. 62%","4","8366","45","90","Ja","24","Männlich"
"2022/10/31 10:08:26 AM MEZ","trifft völlig zu","trifft eher zu","4","trifft völlig zu","64","ca. 82%","4","77","180","120","Nein","28","Männlich"
"2022/10/31 10:08:49 AM MEZ","trifft völlig zu","teils teils","3","trifft eher nicht zu","37","ca. 82%","4","450","90","240","Ja","25","Weiblich"
"2022/10/31 10:09:14 AM MEZ","trifft eher zu","trifft eher zu","4","trifft eher nicht zu","70","ca. 62%","2","400","120","45","Ja","26","Männlich"
"2022/10/31 10:09:16 AM MEZ","trifft eher zu","trifft eher zu","3","trifft überhaupt nicht zu","20","ca. 42%","3","400","90","5","Ja","21","Männlich"
"2022/10/31 10:09:27 AM MEZ","teils teils","trifft eher zu","4","teils teils","20","ca. 62%","3","200","180","150","Ja","26","Weiblich"
"2022/10/31 10:09:35 AM MEZ","teils teils","trifft eher zu","4","trifft eher nicht zu","50","ca. 82%","1","2300","60","60","Ja","21","Weiblich"
"2022/10/31 10:10:36 AM MEZ","trifft eher nicht zu","trifft eher zu","5","trifft überhaupt nicht zu","50","ca. 82%","4","530","5","180","Ja","24","Männlich"